gender,lastname,firstname,birthdate,mobile,OU,group,email,password
F,Turner,Allison,12/30/1990,621423285,santiago,contabilidad,allisonturner1990@aso.local,1298.Abcd
F,Moore,Amelia,08/27/1990,698083640,vigo,marketing,ameliamoore1990@aso.local,1299.Abcd
F,Phillips,Harper,09/03/1973,677469539,santiago,sistemas,harperphillips1973@aso.local,1300.Abcd
M,Lopez,Dylan,01/30/1976,622737651,ourense,desarrollo,dylanlopez1976@aso.local,1301.Abcd
M,Taylor,Wyatt,09/17/1997,633955395,ourense,desarrollo,wyatttaylor1997@aso.local,1302.Abcd
M,Garcia,Liam,11/07/1984,695975450,ourense,desarrollo,liamgarcia1984@aso.local,1303.Abcd
M,Baker,Christopher,02/17/1980,681200429,santiago,desarrollo,christopherbaker1980@aso.local,1304.Abcd
F,Allen,Allison,08/31/1970,631387416,vigo,contabilidad,allisonallen1970@aso.local,1305.Abcd
F,Thompson,Emma,02/14/1973,630767669,ourense,desarrollo,emmathompson1973@aso.local,1306.Abcd
M,Anderson,Jackson,04/27/1975,689645454,santiago,desarrollo,jacksonanderson1975@aso.local,1307.Abcd
M,Moore,Julian,01/22/1973,697251398,lugo,vip,julianmoore1973@aso.local,1308.Abcd
F,Walker,Samantha,08/19/1970,652568595,ourense,desarrollo,samanthawalker1970@aso.local,1309.Abcd
F,Garcia,Grace,09/02/1974,678181081,lugo,contabilidad,gracegarcia1974@aso.local,1310.Abcd
F,Davis,Samantha,07/20/1982,625179964,lugo,marketing,samanthadavis1982@aso.local,1311.Abcd
M,Scott,Joseph,10/22/1998,628578694,santiago,desarrollo,josephscott1998@aso.local,1312.Abcd
F,Turner,Allison,03/29/1975,645820017,ourense,vip,allisonturner1975@aso.local,1313.Abcd
F,Harris,Emma,02/10/1973,640400028,ourense,desarrollo,emmaharris1973@aso.local,1314.Abcd
M,Lopez,Michael,03/30/1978,680910113,santiago,desarrollo,michaellopez1978@aso.local,1315.Abcd
M,Anderson,Hunter,08/29/1971,680992370,ourense,sistemas,hunteranderson1971@aso.local,1316.Abcd
M,Turner,Wyatt,06/19/1972,625261630,lugo,desarrollo,wyattturner1972@aso.local,1317.Abcd
M,Sanchez,Landon,09/25/1994,676603350,santiago,sistemas,landonsanchez1994@aso.local,1318.Abcd
F,Garcia,Lily,04/22/1970,659732861,lugo,desarrollo,lilygarcia1970@aso.local,1319.Abcd
M,Garcia,Isaiah,04/23/1970,656323937,santiago,contabilidad,isaiahgarcia1970@aso.local,1320.Abcd
F,Harris,Isabella,10/11/1985,676694464,lugo,desarrollo,isabellaharris1985@aso.local,1321.Abcd
F,Robinson,Lillian,12/23/1991,698010010,santiago,desarrollo,lillianrobinson1991@aso.local,1322.Abcd
F,Allen,Abigail,01/02/1975,672792986,ourense,desarrollo,abigailallen1975@aso.local,1323.Abcd
M,Green,Owen,04/09/1989,671697671,santiago,desarrollo,owengreen1989@aso.local,1324.Abcd
F,Thompson,Claire,08/28/1992,638379249,santiago,desarrollo,clairethompson1992@aso.local,1325.Abcd
F,Gonzalez,Anna,11/08/1987,678437009,ourense,desarrollo,annagonzalez1987@aso.local,1326.Abcd
M,Carter,David,12/23/1975,684756779,santiago,vip,davidcarter1975@aso.local,1327.Abcd
F,Gonzalez,Kaylee,09/14/1971,669841390,vigo,marketing,kayleegonzalez1971@aso.local,1328.Abcd
F,Lee,Aria,03/18/1970,629697529,vigo,vip,arialee1970@aso.local,1329.Abcd
F,Campbell,Victoria,11/17/1985,613401994,ourense,sistemas,victoriacampbell1985@aso.local,1330.Abcd
F,Green,Evelyn,01/24/1986,625912713,santiago,desarrollo,evelyngreen1986@aso.local,1331.Abcd
M,Phillips,Levi,02/09/1999,684595697,santiago,desarrollo,leviphillips1999@aso.local,1332.Abcd
F,Roberts,Chloe,06/02/1979,631105413,vigo,marketing,chloeroberts1979@aso.local,1333.Abcd
M,Hall,Landon,11/10/1989,616002193,lugo,sistemas,landonhall1989@aso.local,1334.Abcd
F,White,Aria,05/24/1984,693348928,vigo,desarrollo,ariawhite1984@aso.local,1335.Abcd
M,Lopez,Nathan,10/14/1992,664050689,santiago,desarrollo,nathanlopez1992@aso.local,1336.Abcd
M,Davis,John,04/17/1976,622449014,lugo,marketing,johndavis1976@aso.local,1337.Abcd
M,Rodriguez,Jonathan,05/22/1980,674034267,lugo,desarrollo,jonathanrodriguez1980@aso.local,1338.Abcd
M,Harris,Isaac,10/24/1987,655335302,ourense,desarrollo,isaacharris1987@aso.local,1339.Abcd
M,Moore,Aaron,03/19/1973,669025685,vigo,desarrollo,aaronmoore1973@aso.local,1340.Abcd
F,Carter,Scarlett,12/10/1986,626607243,santiago,desarrollo,scarlettcarter1986@aso.local,1341.Abcd
M,Roberts,Owen,06/30/1987,600224852,vigo,sistemas,owenroberts1987@aso.local,1342.Abcd
M,Lee,Elijah,06/12/1977,659771094,lugo,desarrollo,elijahlee1977@aso.local,1343.Abcd
F,Phillips,Alexis,07/19/1981,664358972,santiago,desarrollo,alexisphillips1981@aso.local,1344.Abcd
F,Harris,Gabriella,08/24/1998,691894207,vigo,sistemas,gabriellaharris1998@aso.local,1345.Abcd
F,Garcia,Zoey,03/16/1990,668180601,ourense,sistemas,zoeygarcia1990@aso.local,1346.Abcd
F,Walker,Hailey,11/01/1977,651949086,vigo,desarrollo,haileywalker1977@aso.local,1347.Abcd
F,Evans,Allison,05/14/1983,657798809,santiago,desarrollo,allisonevans1983@aso.local,1348.Abcd
M,Young,Samuel,05/08/1983,648734018,vigo,desarrollo,samuelyoung1983@aso.local,1349.Abcd
M,Clark,Elijah,03/11/1996,682627813,ourense,desarrollo,elijahclark1996@aso.local,1350.Abcd
M,Lewis,James,03/01/1975,625514830,santiago,desarrollo,jameslewis1975@aso.local,1351.Abcd
M,Thomas,William,09/09/1972,624947592,santiago,vip,williamthomas1972@aso.local,1352.Abcd
F,Walker,Sarah,10/21/1983,632405685,vigo,contabilidad,sarahwalker1983@aso.local,1353.Abcd
F,Wilson,Amelia,03/02/1973,634765153,santiago,contabilidad,ameliawilson1973@aso.local,1354.Abcd
M,Mitchell,Michael,08/18/1972,638345166,vigo,sistemas,michaelmitchell1972@aso.local,1355.Abcd
M,Walker,Ethan,09/09/1988,691633894,santiago,vip,ethanwalker1988@aso.local,1356.Abcd
F,Hall,Hailey,02/12/1990,656366728,ourense,desarrollo,haileyhall1990@aso.local,1357.Abcd
F,Phillips,Addison,06/05/1976,664170567,ourense,marketing,addisonphillips1976@aso.local,1358.Abcd
F,Roberts,Scarlett,10/04/1981,648530387,vigo,marketing,scarlettroberts1981@aso.local,1359.Abcd
F,King,Charlotte,09/18/1997,669806900,lugo,desarrollo,charlotteking1997@aso.local,1360.Abcd
F,Roberts,Alexis,07/18/1996,653248575,lugo,sistemas,alexisroberts1996@aso.local,1361.Abcd
F,Scott,Olivia,02/14/1997,646028495,ourense,desarrollo,oliviascott1997@aso.local,1362.Abcd
F,Robinson,Sophia,08/24/1991,608195300,vigo,vip,sophiarobinson1991@aso.local,1363.Abcd
F,Hernandez,Mia,09/14/1970,660084927,santiago,sistemas,miahernandez1970@aso.local,1364.Abcd
M,Campbell,Ethan,12/30/1991,693093136,vigo,marketing,ethancampbell1991@aso.local,1365.Abcd
F,Campbell,Lillian,03/14/1978,662114872,vigo,desarrollo,lilliancampbell1978@aso.local,1366.Abcd
F,Mitchell,Evelyn,04/01/1993,692136530,santiago,desarrollo,evelynmitchell1993@aso.local,1367.Abcd
F,Miller,Lily,03/23/1986,636979340,santiago,marketing,lilymiller1986@aso.local,1368.Abcd
M,Turner,Christopher,06/06/1983,645038130,lugo,marketing,christopherturner1983@aso.local,1369.Abcd
M,Robinson,Ryan,02/01/1991,695070971,lugo,desarrollo,ryanrobinson1991@aso.local,1370.Abcd
M,Campbell,Jonathan,06/26/1977,658719441,lugo,desarrollo,jonathancampbell1977@aso.local,1371.Abcd
F,Moore,Alexa,04/30/1998,652352525,vigo,vip,alexamoore1998@aso.local,1372.Abcd
F,Johnson,Abigail,01/26/1972,620811119,santiago,sistemas,abigailjohnson1972@aso.local,1373.Abcd
M,Young,Aaron,11/12/1994,609906637,lugo,desarrollo,aaronyoung1994@aso.local,1374.Abcd
F,Davis,Madison,02/10/1991,696812389,santiago,contabilidad,madisondavis1991@aso.local,1375.Abcd
F,Williams,Charlotte,02/18/1972,600305323,santiago,contabilidad,charlottewilliams1972@aso.local,1376.Abcd
M,Green,Jonathan,09/08/1998,688423571,vigo,desarrollo,jonathangreen1998@aso.local,1377.Abcd
M,Thompson,Jayden,08/31/1975,628856293,santiago,marketing,jaydenthompson1975@aso.local,1378.Abcd
F,Hall,Zoe,10/14/1991,605876441,vigo,desarrollo,zoehall1991@aso.local,1379.Abcd
M,Lopez,Owen,01/28/1994,665567077,lugo,desarrollo,owenlopez1994@aso.local,1380.Abcd
M,Anderson,David,05/13/1976,618743533,vigo,desarrollo,davidanderson1976@aso.local,1381.Abcd
F,White,Aria,06/18/1997,681358144,ourense,contabilidad,ariawhite1997@aso.local,1382.Abcd
M,Young,Isaac,03/04/1997,645508632,ourense,desarrollo,isaacyoung1997@aso.local,1383.Abcd
M,Campbell,Mason,08/28/1999,670728531,santiago,marketing,masoncampbell1999@aso.local,1384.Abcd
M,Turner,Elijah,07/31/1991,698743696,vigo,desarrollo,elijahturner1991@aso.local,1385.Abcd
F,Moore,Sophia,10/16/1980,619245031,santiago,desarrollo,sophiamoore1980@aso.local,1386.Abcd
F,Anderson,Scarlett,03/19/1984,681837809,ourense,sistemas,scarlettanderson1984@aso.local,1387.Abcd
M,Thomas,Julian,09/02/1984,668322571,ourense,sistemas,julianthomas1984@aso.local,1388.Abcd
F,Williams,Ella,12/18/1999,649088769,ourense,vip,ellawilliams1999@aso.local,1389.Abcd
F,Nelson,Samantha,07/03/1977,693907532,santiago,contabilidad,samanthanelson1977@aso.local,1390.Abcd
F,White,Leah,01/06/1980,641573867,vigo,contabilidad,leahwhite1980@aso.local,1391.Abcd
M,Wilson,Liam,04/27/1984,635105458,santiago,desarrollo,liamwilson1984@aso.local,1392.Abcd
F,Sanchez,Madison,05/15/1999,673947594,santiago,desarrollo,madisonsanchez1999@aso.local,1393.Abcd
F,Smith,Claire,09/12/1981,662453885,vigo,marketing,clairesmith1981@aso.local,1394.Abcd
M,Green,William,10/20/1998,690287638,lugo,contabilidad,williamgreen1998@aso.local,1395.Abcd
F,Jones,Isabella,11/13/1980,656842999,santiago,sistemas,isabellajones1980@aso.local,1396.Abcd
F,Williams,Lillian,09/26/1994,637735735,ourense,desarrollo,lillianwilliams1994@aso.local,1397.Abcd
M,Miller,Aiden,01/12/1987,632550937,lugo,desarrollo,aidenmiller1987@aso.local,1398.Abcd
M,Sanchez,Carter,06/28/1991,683781013,ourense,sistemas,cartersanchez1991@aso.local,1399.Abcd
F,Mitchell,Camila,02/08/1992,613450800,santiago,desarrollo,camilamitchell1992@aso.local,1400.Abcd
F,Garcia,Evelyn,09/24/1974,609140565,lugo,sistemas,evelyngarcia1974@aso.local,1401.Abcd
F,Martinez,Audrey,11/05/1981,600013396,ourense,marketing,audreymartinez1981@aso.local,1402.Abcd
M,Sanchez,Nathan,06/09/1997,624501924,ourense,desarrollo,nathansanchez1997@aso.local,1403.Abcd
M,Adams,Samuel,11/10/1999,646567791,ourense,contabilidad,samueladams1999@aso.local,1404.Abcd
F,Hernandez,Ella,03/23/1997,645728268,santiago,desarrollo,ellahernandez1997@aso.local,1405.Abcd
F,Phillips,Anna,01/26/1971,675944701,vigo,desarrollo,annaphillips1971@aso.local,1406.Abcd
F,Anderson,Leah,12/02/1987,698148568,ourense,contabilidad,leahanderson1987@aso.local,1407.Abcd
F,Hall,Samantha,04/22/1987,670040820,santiago,marketing,samanthahall1987@aso.local,1408.Abcd
M,Perez,Henry,06/08/1978,671837553,ourense,vip,henryperez1978@aso.local,1409.Abcd
M,Roberts,Isaiah,12/18/1990,686453198,vigo,desarrollo,isaiahroberts1990@aso.local,1410.Abcd
F,Thompson,Sofia,09/09/1982,681715549,santiago,vip,sofiathompson1982@aso.local,1411.Abcd
F,Nelson,Samantha,12/05/1993,649900592,vigo,sistemas,samanthanelson1993@aso.local,1412.Abcd
F,Harris,Sophia,04/22/1978,658331690,santiago,desarrollo,sophiaharris1978@aso.local,1413.Abcd
F,Campbell,Grace,02/06/1977,682569767,vigo,sistemas,gracecampbell1977@aso.local,1414.Abcd
F,Sanchez,Gabriella,04/05/1976,664336180,lugo,desarrollo,gabriellasanchez1976@aso.local,1415.Abcd
M,Ezoic,Christopher,11/16/1983,689079596,ourense,vip,christopherezoic1983@aso.local,1416.Abcd
M,Martinez,Liam,06/05/1975,658466733,ourense,sistemas,liammartinez1975@aso.local,1417.Abcd
F,Robinson,Kaylee,06/10/1980,615931146,ourense,sistemas,kayleerobinson1980@aso.local,1418.Abcd
M,Allen,Joseph,09/28/1991,662846221,santiago,desarrollo,josephallen1991@aso.local,1419.Abcd
F,Lewis,Camila,01/30/1979,665542514,santiago,desarrollo,camilalewis1979@aso.local,1420.Abcd
F,Allen,Kaylee,03/08/1999,625229368,santiago,sistemas,kayleeallen1999@aso.local,1421.Abcd
M,Robinson,Gabriel,02/04/1987,617057935,vigo,contabilidad,gabrielrobinson1987@aso.local,1422.Abcd
M,Roberts,Christopher,07/09/1980,619015169,lugo,contabilidad,christopherroberts1980@aso.local,1423.Abcd
M,Evans,John,07/05/1993,638308549,lugo,desarrollo,johnevans1993@aso.local,1424.Abcd
M,Thomas,Liam,07/02/1994,606594219,ourense,desarrollo,liamthomas1994@aso.local,1425.Abcd
M,Miller,Hunter,09/08/1981,649666804,vigo,desarrollo,huntermiller1981@aso.local,1426.Abcd
M,Lopez,Aiden,10/21/1973,678317920,santiago,desarrollo,aidenlopez1973@aso.local,1427.Abcd
M,Scott,Ryan,09/23/1975,697035682,lugo,desarrollo,ryanscott1975@aso.local,1428.Abcd
F,King,Alexis,10/03/1977,615095612,ourense,marketing,alexisking1977@aso.local,1429.Abcd
M,Perez,Jack,11/14/1993,616006433,ourense,desarrollo,jackperez1993@aso.local,1430.Abcd
F,Adams,Hailey,12/15/1979,637840308,lugo,desarrollo,haileyadams1979@aso.local,1431.Abcd
F,Williams,Amelia,07/04/1980,602254766,lugo,desarrollo,ameliawilliams1980@aso.local,1432.Abcd
F,Allen,Brooklyn,10/06/1975,631750924,vigo,desarrollo,brooklynallen1975@aso.local,1433.Abcd
M,Perez,Benjamin,02/25/1980,622394343,lugo,vip,benjaminperez1980@aso.local,1434.Abcd
F,Wilson,Mia,08/30/1995,626484872,santiago,desarrollo,miawilson1995@aso.local,1435.Abcd
M,Rodriguez,Jayden,05/14/1976,698504608,vigo,vip,jaydenrodriguez1976@aso.local,1436.Abcd
M,Moore,Matthew,04/08/1987,670304710,santiago,marketing,matthewmoore1987@aso.local,1437.Abcd
M,Roberts,Liam,07/23/1977,647052721,santiago,desarrollo,liamroberts1977@aso.local,1438.Abcd
M,Evans,Andrew,07/06/1987,687445742,vigo,sistemas,andrewevans1987@aso.local,1439.Abcd
F,King,Harper,05/02/1992,632241169,lugo,contabilidad,harperking1992@aso.local,1440.Abcd
F,Campbell,Allison,10/28/1976,602495012,lugo,desarrollo,allisoncampbell1976@aso.local,1441.Abcd
M,Ezoic,Joseph,12/16/1997,671747275,lugo,sistemas,josephezoic1997@aso.local,1442.Abcd
M,Thompson,John,01/07/1973,602465556,vigo,desarrollo,johnthompson1973@aso.local,1443.Abcd
M,Young,Mason,02/02/1973,602449558,ourense,sistemas,masonyoung1973@aso.local,1444.Abcd
M,Garcia,Ethan,04/02/1984,683545820,ourense,contabilidad,ethangarcia1984@aso.local,1445.Abcd
M,Harris,Isaac,03/13/1971,659723584,santiago,desarrollo,isaacharris1971@aso.local,1446.Abcd
M,Johnson,Andrew,07/22/1979,628845364,ourense,marketing,andrewjohnson1979@aso.local,1447.Abcd
M,Carter,Noah,11/24/1982,640490573,lugo,desarrollo,noahcarter1982@aso.local,1448.Abcd
F,Lee,Emily,12/20/1993,629847393,ourense,desarrollo,emilylee1993@aso.local,1449.Abcd
F,Ezoic,Kaylee,11/19/1982,690682169,lugo,desarrollo,kayleeezoic1982@aso.local,1450.Abcd
F,Taylor,Zoey,01/05/1979,607341280,vigo,desarrollo,zoeytaylor1979@aso.local,1451.Abcd
M,Ezoic,Isaiah,09/10/1982,633885251,lugo,contabilidad,isaiahezoic1982@aso.local,1452.Abcd
F,Lee,Alexis,02/12/1998,659652467,santiago,marketing,alexislee1998@aso.local,1453.Abcd
M,Williams,Andrew,03/01/1987,650373355,lugo,desarrollo,andrewwilliams1987@aso.local,1454.Abcd
F,Jones,Claire,12/17/1999,624135830,ourense,contabilidad,clairejones1999@aso.local,1455.Abcd
F,Phillips,Harper,06/20/1987,602823527,ourense,marketing,harperphillips1987@aso.local,1456.Abcd
M,Lee,Daniel,11/16/1986,612947815,ourense,sistemas,daniellee1986@aso.local,1457.Abcd
F,Carter,Scarlett,07/01/1982,646297733,ourense,desarrollo,scarlettcarter1982@aso.local,1458.Abcd
M,Hill,Samuel,04/10/1977,666631233,santiago,vip,samuelhill1977@aso.local,1459.Abcd
M,King,William,07/03/1986,643210751,santiago,desarrollo,williamking1986@aso.local,1460.Abcd
M,Hall,Eli,08/17/1974,604541335,vigo,sistemas,elihall1974@aso.local,1461.Abcd
M,Evans,Nathan,07/27/1984,644273124,lugo,sistemas,nathanevans1984@aso.local,1462.Abcd
M,Davis,Jackson,09/22/1983,685381672,santiago,desarrollo,jacksondavis1983@aso.local,1463.Abcd
F,Johnson,Savannah,11/07/1974,629261754,ourense,vip,savannahjohnson1974@aso.local,1464.Abcd
M,Hernandez,Isaiah,02/02/1992,674620207,vigo,desarrollo,isaiahhernandez1992@aso.local,1465.Abcd
F,Hall,Layla,06/24/1971,694269594,vigo,desarrollo,laylahall1971@aso.local,1466.Abcd
F,Martin,Zoey,09/13/1996,623910449,santiago,desarrollo,zoeymartin1996@aso.local,1467.Abcd
M,Roberts,Jonathan,02/19/1970,655798991,santiago,desarrollo,jonathanroberts1970@aso.local,1468.Abcd
F,Perez,Avery,07/11/1983,603938695,lugo,vip,averyperez1983@aso.local,1469.Abcd
M,Davis,Joshua,07/06/1977,601203516,ourense,sistemas,joshuadavis1977@aso.local,1470.Abcd
M,Jackson,Isaiah,10/21/1986,657630236,vigo,vip,isaiahjackson1986@aso.local,1471.Abcd
M,Baker,James,07/18/1979,658356999,vigo,desarrollo,jamesbaker1979@aso.local,1472.Abcd
F,Martin,Aria,09/28/1986,626862512,lugo,desarrollo,ariamartin1986@aso.local,1473.Abcd
M,Moore,Landon,08/14/1991,694080225,santiago,desarrollo,landonmoore1991@aso.local,1474.Abcd
M,Baker,Mason,07/07/1998,650598676,vigo,contabilidad,masonbaker1998@aso.local,1475.Abcd
F,Roberts,Leah,03/15/1986,619059897,ourense,desarrollo,leahroberts1986@aso.local,1476.Abcd
M,Evans,Daniel,05/27/1985,656112104,ourense,desarrollo,danielevans1985@aso.local,1477.Abcd
F,Lewis,Layla,01/16/1993,627364761,santiago,desarrollo,laylalewis1993@aso.local,1478.Abcd
F,Jones,Avery,10/14/1982,610291805,ourense,sistemas,averyjones1982@aso.local,1479.Abcd
F,Hall,Hailey,12/08/1971,666126559,ourense,contabilidad,haileyhall1971@aso.local,1480.Abcd
M,Green,Noah,03/25/1989,677199465,vigo,sistemas,noahgreen1989@aso.local,1481.Abcd
M,Nelson,Gabriel,11/21/1995,642637220,lugo,desarrollo,gabrielnelson1995@aso.local,1482.Abcd
F,Allen,Allison,12/07/1995,640631546,santiago,sistemas,allisonallen1995@aso.local,1483.Abcd
M,Martinez,Logan,04/19/1972,670835232,ourense,sistemas,loganmartinez1972@aso.local,1484.Abcd
F,Martin,Hannah,03/08/1979,650792650,santiago,desarrollo,hannahmartin1979@aso.local,1485.Abcd
F,Wright,Kaylee,05/14/1983,662237289,vigo,desarrollo,kayleewright1983@aso.local,1486.Abcd
M,Allen,Anthony,06/30/1992,691931591,vigo,vip,anthonyallen1992@aso.local,1487.Abcd
M,Robinson,Joseph,02/24/1972,679189997,lugo,contabilidad,josephrobinson1972@aso.local,1488.Abcd
F,Rodriguez,Madison,05/19/1985,656600995,santiago,desarrollo,madisonrodriguez1985@aso.local,1489.Abcd
M,Clark,Aiden,06/22/1989,610929029,ourense,desarrollo,aidenclark1989@aso.local,1490.Abcd
F,Wright,Natalie,09/09/1972,643271961,lugo,desarrollo,nataliewright1972@aso.local,1491.Abcd
M,Martinez,Aaron,08/31/1994,660267919,santiago,marketing,aaronmartinez1994@aso.local,1492.Abcd
M,Hall,Carter,02/10/1986,699039653,santiago,desarrollo,carterhall1986@aso.local,1493.Abcd
M,Miller,Luke,01/06/1988,676294231,ourense,sistemas,lukemiller1988@aso.local,1494.Abcd
F,Miller,Olivia,04/07/1974,654679785,santiago,marketing,oliviamiller1974@aso.local,1495.Abcd
